id,link,photo_id,class,filename,saved
93960741,https://photos.zillowstatic.com/p_h/ISaxf79y07yrpf0000000000.jpg,X1-IAohvs7y07yrpf0000000000_ofbre,hip-photo,photos/ISaxf79y07yrpf0000000000.jpg,TRUE
93960741,//ecn.t0.tiles.virtualearth.net/tiles/r02133323011000.png?g=6243&mkt=en-us&shading=hill&lbl=l1&stl=fb,NA,map-tile,photos/NA,TRUE
93960741,//ecn.t3.tiles.virtualearth.net/tiles/r02133321232333.png?g=6243&mkt=en-us&shading=hill&lbl=l1&stl=fb,NA,map-tile,photos/NA,TRUE
93960741,//ecn.t2.tiles.virtualearth.net/tiles/r02133321233222.png?g=6243&mkt=en-us&shading=hill&lbl=l1&stl=fb,NA,map-tile,photos/NA,TRUE
93960741,//ecn.t3.tiles.virtualearth.net/tiles/r02133321233223.png?g=6243&mkt=en-us&shading=hill&lbl=l1&stl=fb,NA,map-tile,photos/NA,TRUE
93960741,//ecn.t1.tiles.virtualearth.net/tiles/r02133323011001.png?g=6243&mkt=en-us&shading=hill&lbl=l1&stl=fb,NA,map-tile,photos/NA,TRUE
93960741,//ecn.t1.tiles.virtualearth.net/tiles/r02133323010111.png?g=6243&mkt=en-us&shading=hill&lbl=l1&stl=fb,NA,map-tile,photos/NA,TRUE
93960741,https://photos.zillowstatic.com/p_c/IS2vc16oeac8if0000000000.jpg,X1-IAgfsm4oeac8if0000000000_klo14,hip-photo,photos/IS2vc16oeac8if0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISuoapnha24bif0000000000.jpg,X1-IA89qamha24bif0000000000_kn2ll,hip-photo,photos/ISuoapnha24bif0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISmi8d5b6uvdif0000000000.jpg,X1-IA03oy3b6uvdif0000000000_koh62,hip-photo,photos/ISmi8d5b6uvdif0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISec61n42mngif0000000000.jpg,X1-IAswlml42mngif0000000000_kpvqj,hip-photo,photos/ISec61n42mngif0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/IS664p4yxdfjif0000000000.jpg,X1-IAkqja3yxdfjif0000000000_krab0,hip-photo,photos/IS664p4yxdfjif0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISyz1dmrt57mif0000000000.jpg,X1-IAckhykrt57mif0000000000_ksovh,hip-photo,photos/ISyz1dmrt57mif0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISqtz04lpxyoif0000000000.jpg,X1-IA4efm2lpxyoif0000000000_ku3fy,hip-photo,photos/ISqtz04lpxyoif0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISinxolelpqrif0000000000.jpg,X1-IAw7dakelpqrif0000000000_kvi0f,hip-photo,photos/ISinxolelpqrif0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISahvc38hhiuif0000000000.jpg,X1-IAo1by18hhiuif0000000000_kwwkw,hip-photo,photos/ISahvc38hhiuif0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/IS2bt0l1d9axif0000000000.jpg,X1-IAgv8mj1d9axif0000000000_kyb5d,hip-photo,photos/IS2bt0l1d9axif0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISu4ro2v8120jf0000000000.jpg,X1-IA8p6a1v8120jf0000000000_kzppu,hip-photo,photos/ISu4ro2v8120jf0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISmyocko4tt2jf0000000000.jpg,X1-IA0j4yio4tt2jf0000000000_l14ab,hip-photo,photos/ISmyocko4tt2jf0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISesm02i0ll5jf0000000000.jpg,X1-IAsc2m0i0ll5jf0000000000_l2ius,hip-photo,photos/ISesm02i0ll5jf0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISybrw3ygaie3g0000000000.jpg,X1-IAcw6i2ygaie3g0000000000_lccu3,hip-photo,photos/ISybrw3ygaie3g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISq5pklrc2ah3g0000000000.jpg,X1-IA4q46krc2ah3g0000000000_ldrek,hip-photo,photos/ISq5pklrc2ah3g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISizm83l8u1k3g0000000000.jpg,X1-IAwj2u1l8u1k3g0000000000_lf5z1,hip-photo,photos/ISizm83l8u1k3g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISatkwke4mtm3g0000000000.jpg,X1-IAod0ije4mtm3g0000000000_lgkji,hip-photo,photos/ISatkwke4mtm3g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/IS2nik280elp3g0000000000.jpg,X1-IAg7y5180elp3g0000000000_lhz3z,hip-photo,photos/IS2nik280elp3g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISugg8k1w5ds3g0000000000.jpg,X1-IA81wti1w5ds3g0000000000_ljdog,hip-photo,photos/ISugg8k1w5ds3g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISmaew1vrx4v3g0000000000.jpg,X1-IA0vth0vrx4v3g0000000000_lks8x,hip-photo,photos/ISmaew1vrx4v3g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISe4ckjonpwx3g0000000000.jpg,X1-IAsor5ionpwx3g0000000000_lm6te,hip-photo,photos/ISe4ckjonpwx3g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/IS6y981ijho04g0000000000.jpg,X1-IAkiptzhjho04g0000000000_lnldv,hip-photo,photos/IS6y981ijho04g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISyr7wibf9g34g0000000000.jpg,X1-IAccnhhbf9g34g0000000000_lozyc,hip-photo,photos/ISyr7wibf9g34g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISql5k05b1864g0000000000.jpg,X1-IA46l5z4b1864g0000000000_lqeit,hip-photo,photos/ISql5k05b1864g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISif38iy6tz84g0000000000.jpg,X1-IAwzitgy6tz84g0000000000_lrt3a,hip-photo,photos/ISif38iy6tz84g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISa91wzr2lrb4g0000000000.jpg,X1-IAotghyr2lrb4g0000000000_lt7nr,hip-photo,photos/ISa91wzr2lrb4g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/IS62lzogt0s3fg0000000000.jpg,X1-IAkm0lngt0s3fg0000000000_r9v9v,hip-photo,photos/IS62lzogt0s3fg0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISyvin6apsj6fg0000000000.jpg,X1-IAcgy85apsj6fg0000000000_rb9uc,hip-photo,photos/ISyvin6apsj6fg0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/IS23zjhlycje4g0000000000.jpg,X1-IAgne5glycje4g0000000000_lum88,hip-photo,photos/IS23zjhlycje4g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISqpgbo3lkb9fg0000000000.jpg,X1-IA4awwm3lkb9fg0000000000_hd2tx,hip-photo,photos/ISqpgbo3lkb9fg0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISuww7zeu4bh4g0000000000.jpg,X1-IA8hctxeu4bh4g0000000000_lw0sp,hip-photo,photos/ISuww7zeu4bh4g0000000000.jpg,TRUE
93960741,https://photos.zillowstatic.com/p_c/ISmquvg8qw2k4g0000000000.jpg,X1-IA0bahf8qw2k4g0000000000_lxfd6,hip-photo,photos/ISmquvg8qw2k4g0000000000.jpg,TRUE
